index,Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Score,Sets_Played,Tie_Breaks
60088,Internazionali BNL d'Italia,2023-05-16,Masters 1000,Outdoor,Clay,4th Round,3,Ruud C.,Djere L.,Ruud C.,4,62,6-1 6-3    ,2,0
60089,Internazionali BNL d'Italia,2023-05-16,Masters 1000,Outdoor,Clay,4th Round,3,Sinner J.,Cerundolo F.,Cerundolo F.,8,31,7-6 2-6 2-6   ,3,1
60090,Internazionali BNL d'Italia,2023-05-16,Masters 1000,Outdoor,Clay,4th Round,3,Hanfmann Y.,Rublev A.,Hanfmann Y.,101,6,7-6 4-6 6-3   ,3,1
60091,Internazionali BNL d'Italia,2023-05-16,Masters 1000,Outdoor,Clay,4th Round,3,Zverev A.,Medvedev D.,Medvedev D.,22,3,2-6 6-7    ,2,1
60092,Internazionali BNL d'Italia,2023-05-16,Masters 1000,Outdoor,Clay,4th Round,3,Coric B.,Marozsan F.,Coric B.,16,135,3-6 6-4 6-3   ,3,0
60093,Internazionali BNL d'Italia,2023-05-16,Masters 1000,Outdoor,Clay,4th Round,3,Musetti L.,Tsitsipas S.,Tsitsipas S.,19,5,5-7 5-7    ,2,0
60094,Internazionali BNL d'Italia,2023-05-17,Masters 1000,Outdoor,Clay,Quarterfinals,3,Rune H.,Djokovic N.,Rune H.,7,1,6-2 4-6 6-2   ,3,0
60095,Internazionali BNL d'Italia,2023-05-17,Masters 1000,Outdoor,Clay,Quarterfinals,3,Cerundolo F.,Ruud C.,Ruud C.,31,4,6-7 4-6    ,2,1
60096,Internazionali BNL d'Italia,2023-05-18,Masters 1000,Outdoor,Clay,Quarterfinals,3,Medvedev D.,Hanfmann Y.,Medvedev D.,3,101,6-2 6-2    ,2,0
60097,Internazionali BNL d'Italia,2023-05-18,Masters 1000,Outdoor,Clay,Quarterfinals,3,Coric B.,Tsitsipas S.,Tsitsipas S.,16,5,3-6 4-6    ,2,0
60098,Internazionali BNL d'Italia,2023-05-20,Masters 1000,Outdoor,Clay,Semifinals,3,Rune H.,Ruud C.,Rune H.,7,4,6-7 6-4 6-2   ,3,1
60099,Internazionali BNL d'Italia,2023-05-20,Masters 1000,Outdoor,Clay,Semifinals,3,Tsitsipas S.,Medvedev D.,Medvedev D.,5,3,5-7 5-7    ,2,0
60100,Internazionali BNL d'Italia,2023-05-21,Masters 1000,Outdoor,Clay,The Final,3,Medvedev D.,Rune H.,Medvedev D.,3,7,7-5 7-5    ,2,0
60149,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Lestienne C.,Khachanov K.,Khachanov K.,70,11,6-3 6-1 2-6 1-6 3-6 ,5,0
60150,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Hurkacz H.,Goffin D.,Hurkacz H.,14,111,6-3 5-7 6-4 2-6 6-4 ,5,0
60151,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Cressy M.,Ofner S.,Ofner S.,44,118,4-6 6-7 2-6   ,3,1
60152,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Griekspoor T.,Martinez P.,Griekspoor T.,39,135,6-4 2-6 0-6 7-5 6-3 ,5,0
60153,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Kypson P.,Albot R.,Albot R.,329,113,3-6 2-6 6-4 1-6  ,4,0
60154,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Kokkinakis T.,Evans D.,Kokkinakis T.,108,25,6-4 6-4 6-4   ,3,0
60155,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Grenier H.,Fucsovics M.,Fucsovics M.,122,83,3-6 7-5 1-6 3-6  ,4,0
60156,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Tsitsipas S.,Vesely J.,Tsitsipas S.,5,455,7-5 6-3 4-6 7-6  ,4,1
60157,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Diaz Acosta F.,Kubler J.,Kubler J.,137,69,6-1 3-6 4-6 6-3 1-6 ,5,0
60158,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Borges N.,Isner J.,Borges N.,80,90,6-4 5-7 7-6 4-6 7-6 ,5,2
60159,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Mcdonald M.,Korda S.,Korda S.,59,30,4-6 5-7 4-6   ,3,0
60160,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Arnaldi M.,Galan D.E.,Arnaldi M.,106,91,2-6 6-3 6-0 6-2  ,4,0
60161,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Nava E.,Carballes Baena R.,Carballes Baena R.,242,57,6-7 3-6 2-6   ,3,1
60162,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Musetti L.,Ymer M.,Musetti L.,18,56,7-5 6-2 6-4   ,3,0
60163,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Djere L.,Rublev A.,Rublev A.,60,7,1-6 6-3 3-6 4-6  ,4,0
60164,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Moutet C.,Cazaux A.,Moutet C.,61,190,6-1 6-3 4-6 6-4  ,4,0
60165,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Shelton B.,Sonego L.,Sonego L.,36,48,4-6 6-3 3-6 3-6  ,4,0
60166,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Shevchenko A.,Otte O.,Shevchenko A.,87,120,7-5 4-6 6-1 7-6  ,4,1
60167,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Mannarino A.,Humbert U.,Humbert U.,47,40,3-6 3-6 1-6   ,3,0
60168,French Open,2023-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Pouille L.,Rodionov J.,Pouille L.,675,134,6-2 6-4 6-3   ,3,0
60169,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Nakashima B.,Shapovalov D.,Shapovalov D.,45,32,4-6 5-7 6-4 6-3 3-6 ,5,0
60170,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Norrie C.,Paire B.,Norrie C.,13,149,7-5 4-6 3-6 6-1 6-4 ,5,0
60171,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Zapata Miralles B.,Schwartzman D.,Schwartzman D.,38,95,6-1 7-6 2-6 0-6 4-6 ,5,1
60172,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Varillas J.P.,Shang J.,Varillas J.P.,94,200,4-6 2-6 6-2 6-3 6-1 ,5,0
60173,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Ivashka I.,De Minaur A.,De Minaur A.,73,19,1-6 7-5 1-6 3-6  ,4,0
60174,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Karatsev A.,Popyrin A.,Karatsev A.,62,85,6-3 6-7 6-1 6-2  ,4,1
60175,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Wu Y.,Bautista Agut R.,Bautista Agut R.,54,24,6-7 1-6 1-6   ,3,1
60176,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Fognini F.,Auger-Aliassime F.,Fognini F.,130,10,6-4 6-4 6-3   ,3,0
60177,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Ramos-Vinolas A.,Wawrinka S.,Wawrinka S.,67,89,6-7 4-6 7-6 6-1 4-6 ,5,2
60178,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Daniel T.,O Connell C.,Daniel T.,112,77,6-0 6-2 6-4   ,3,0
60179,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Kovacevic A.,Djokovic N.,Djokovic N.,114,3,3-6 2-6 6-7   ,3,1
60180,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Tirante T.A.,Van De Zandschulp B.,Tirante T.A.,153,31,6-2 4-6 6-3 6-4  ,4,0
60181,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Coria F.,Coric B.,Coric B.,96,16,6-7 7-6 3-6 3-6  ,4,2
60182,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Cachin P.,Thiem D.,Cachin P.,64,92,6-3 6-2 6-7 4-6 6-2 ,5,1
60183,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Medjedovic H.,Giron M.,Giron M.,168,75,0-6 2-6 6-1 0-6  ,4,0
60184,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Lehecka J.,Struff J.L.,Lehecka J.,41,28,7-5 1-6 6-3 3-6 6-1 ,5,0
60185,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Fils A.,Davidovich Fokina A.,Davidovich Fokina A.,63,34,1-6 6-4 3-6 3-6  ,4,0
60186,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Alcaraz C.,Cobolli F.,Alcaraz C.,1,159,6-0 6-2 7-5   ,3,0
60187,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Huesler M.A.,Altmaier D.,Altmaier D.,84,79,3-6 4-6 4-6   ,3,0
60188,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Tiafoe F.,Krajinovic F.,Tiafoe F.,12,93,6-3 6-4 6-2   ,3,0
60189,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Cecchinato M.,Van Assche L.,Van Assche L.,72,82,1-6 1-6 3-6   ,3,0
60190,French Open,2023-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Sinner J.,Muller A.,Sinner J.,9,101,6-1 6-4 6-1   ,3,0
60191,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Stricker D.,Paul T.,Paul T.,116,17,3-6 2-6 4-6   ,3,0
60192,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Jarry N.,Dellien H.,Jarry N.,35,160,6-4 6-4 6-2   ,3,0
60193,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Ymer E.,Ruud C.,Ruud C.,155,4,4-6 3-6 2-6   ,3,0
60194,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Nishioka Y.,Wolf J.J.,Nishioka Y.,33,50,1-6 3-6 6-4 6-3 6-3 ,5,0
60195,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Mpetshi G.,Olivieri G.,Olivieri G.,237,231,6-7 6-4 6-4 5-7 1-6 ,5,1
60196,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Vavassori A.,Kecmanovic M.,Vavassori A.,148,37,5-7 2-6 7-6 7-6 7-6 ,5,3
60197,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Thompson J.,Purcell M.,Purcell M.,76,68,5-7 6-1 4-6 4-6  ,4,0
60198,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Molcan A.,Gaston H.,Molcan A.,86,109,6-1 7-6 6-4   ,3,1
60199,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Harris L.,Zverev A.,Zverev A.,294,27,6-7 6-7 1-6   ,3,2
60200,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Zeppieri G.,Bublik A.,Zeppieri G.,129,51,6-0 4-6 4-6 6-3 7-5 ,5,0
60201,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Medvedev D.,Seyboth Wild T.,Seyboth Wild T.,2,172,6-7 7-6 6-2 3-6 4-6 ,5,2
60202,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Ruusuvuori E.,Barrere G.,Ruusuvuori E.,46,58,6-2 6-7 5-7 6-1 6-4 ,5,1
60203,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Munar J.,Cerundolo F.,Cerundolo F.,81,23,1-6 6-2 6-7 1-6  ,4,1
60204,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Rune H.,Eubanks C.,Rune H.,6,74,6-4 3-6 7-6 6-2  ,4,1
60205,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Halys Q.,Pella G.,Pella G.,88,423,4-6 7-6 6-2 6-7 6-7 ,5,3
60206,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Rinderknech A.,Gasquet R.,Rinderknech A.,78,52,6-4 2-6 6-2 7-6  ,4,1
60207,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Mmoh M.,Fritz T.,Fritz T.,123,8,2-6 1-6 1-6   ,3,0
60208,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Dimitrov G.,Skatov T.,Dimitrov G.,29,147,6-0 6-3 6-2   ,3,0
60209,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Monteiro T.,Hanfmann Y.,Hanfmann Y.,98,65,3-6 5-7 7-6 7-6 4-6 ,5,2
60210,French Open,2023-05-30,Grand Slam,Outdoor,Clay,1st Round,5,Monfils G.,Baez S.,Monfils G.,394,42,3-6 6-3 7-5 1-6 7-5 ,5,0
60211,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Kubler J.,Fognini F.,Fognini F.,69,130,4-6 6-7 2-6   ,3,1
60212,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Ofner S.,Korda S.,Ofner S.,118,30,6-3 7-6 6-4   ,3,1
60213,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Carballes Baena R.,Tsitsipas S.,Tsitsipas S.,57,5,3-6 6-7 2-6   ,3,1
60214,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Sonego L.,Humbert U.,Sonego L.,48,40,6-4 6-3 7-6   ,3,1
60215,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Wawrinka S.,Kokkinakis T.,Kokkinakis T.,89,108,6-3 5-7 3-6 7-6 3-6 ,5,1
60216,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Schwartzman D.,Borges N.,Schwartzman D.,95,80,7-6 6-4 6-3   ,3,1
60217,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Arnaldi M.,Shapovalov D.,Shapovalov D.,106,32,2-6 6-3 3-6 3-6  ,4,0
60218,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Varillas J.P.,Bautista Agut R.,Varillas J.P.,94,24,1-6 4-6 6-3 6-1 6-1 ,5,0
60219,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Daniel T.,Alcaraz C.,Alcaraz C.,112,1,1-6 6-3 1-6 2-6  ,4,0
60220,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Khachanov K.,Albot R.,Khachanov K.,11,113,6-3 6-4 6-2   ,3,0
60221,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Griekspoor T.,Hurkacz H.,Hurkacz H.,39,14,3-6 7-5 7-6 6-7 4-6 ,5,2
60222,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Davidovich Fokina A.,Van Assche L.,Davidovich Fokina A.,34,82,6-4 6-3 7-6   ,3,1
60223,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Pouille L.,Norrie C.,Norrie C.,675,13,1-6 3-6 3-6   ,3,0
60224,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Rublev A.,Moutet C.,Rublev A.,7,61,6-4 6-2 3-6 6-3  ,4,0
60225,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Shevchenko A.,Musetti L.,Musetti L.,87,18,1-6 1-6 2-6   ,3,0
60226,French Open,2023-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Djokovic N.,Fucsovics M.,Djokovic N.,3,83,7-6 6-0 6-3   ,3,1
60227,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Cachin P.,Coric B.,Coric B.,64,16,3-6 6-4 6-4 3-6 4-6 ,5,0
60228,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Etcheverry T.,De Minaur A.,Etcheverry T.,49,19,6-3 7-6 6-3   ,3,1
60229,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Zeppieri G.,Ruud C.,Ruud C.,129,4,3-6 2-6 6-4 5-7  ,4,0
60230,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Altmaier D.,Sinner J.,Altmaier D.,79,9,6-7 7-6 1-6 7-6 7-5 ,5,3
60231,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Purcell M.,Nishioka Y.,Nishioka Y.,68,33,6-4 2-6 5-7 4-6  ,4,0
60232,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Dimitrov G.,Ruusuvuori E.,Dimitrov G.,29,46,7-6 6-3 6-4   ,3,1
60233,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Pella G.,Seyboth Wild T.,Seyboth Wild T.,423,172,3-6 6-3 4-6 3-6  ,4,0
60234,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Zhang Zh.,Tirante T.A.,Zhang Zh.,71,153,7-6 6-3 6-4   ,3,1
60235,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Karatsev A.,Tiafoe F.,Tiafoe F.,62,12,6-3 3-6 5-7 2-6  ,4,0
60236,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Olivieri G.,Vavassori A.,Olivieri G.,231,148,7-6 3-6 6-4 7-6  ,4,2
60237,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Paul T.,Jarry N.,Jarry N.,17,35,6-3 1-6 4-6 5-7  ,4,0
60238,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Giron M.,Lehecka J.,Giron M.,75,41,6-2 6-3 6-2   ,3,0
60239,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Hanfmann Y.,Cerundolo F.,Cerundolo F.,65,23,3-6 3-6 4-6   ,3,0
60240,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Fritz T.,Rinderknech A.,Fritz T.,8,78,2-6 6-4 6-3 6-4  ,4,0
60241,French Open,2023-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Molcan A.,Zverev A.,Zverev A.,86,27,4-6 2-6 1-6   ,3,0
60242,French Open,2023-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Khachanov K.,Kokkinakis T.,Khachanov K.,11,108,6-4 6-1 3-6 7-6  ,4,1
60243,French Open,2023-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Rublev A.,Sonego L.,Sonego L.,7,48,7-5 6-0 3-6 6-7 3-6 ,5,1
60244,French Open,2023-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Ofner S.,Fognini F.,Ofner S.,118,130,5-7 6-3 7-5 1-6 6-4 ,5,0
60245,French Open,2023-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Davidovich Fokina A.,Djokovic N.,Djokovic N.,34,3,6-7 6-7 2-6   ,3,2
60246,French Open,2023-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Musetti L.,Norrie C.,Musetti L.,18,13,6-1 6-2 6-4   ,3,0
60247,French Open,2023-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Schwartzman D.,Tsitsipas S.,Tsitsipas S.,95,5,2-6 2-6 3-6   ,3,0
60248,French Open,2023-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Varillas J.P.,Hurkacz H.,Varillas J.P.,94,14,3-6 6-3 7-6 4-6 6-2 ,5,1
60249,French Open,2023-06-02,Grand Slam,Outdoor,Clay,3rd Round,5,Shapovalov D.,Alcaraz C.,Alcaraz C.,32,1,1-6 4-6 2-6   ,3,0
60250,French Open,2023-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Ruud C.,Zhang Zh.,Ruud C.,4,71,4-6 6-4 6-1 6-4  ,4,0
60251,French Open,2023-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Seyboth Wild T.,Nishioka Y.,Nishioka Y.,172,33,6-3 6-7 6-2 4-6 0-6 ,5,1
60252,French Open,2023-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Etcheverry T.,Coric B.,Etcheverry T.,49,16,6-3 7-6 6-2   ,3,1
60253,French Open,2023-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Giron M.,Jarry N.,Jarry N.,75,35,2-6 3-6 7-6 3-6  ,4,1
60254,French Open,2023-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Rune H.,Olivieri G.,Rune H.,6,231,6-4 6-1 6-3   ,3,0
60255,French Open,2023-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Fritz T.,Cerundolo F.,Cerundolo F.,8,23,6-3 3-6 4-6 5-7  ,4,0
60256,French Open,2023-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Dimitrov G.,Altmaier D.,Dimitrov G.,29,79,6-4 6-3 6-1   ,3,0
60257,French Open,2023-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Tiafoe F.,Zverev A.,Zverev A.,12,27,6-3 6-7 1-6 6-7  ,4,2
60258,French Open,2023-06-04,Grand Slam,Outdoor,Clay,4th Round,5,Khachanov K.,Sonego L.,Khachanov K.,11,48,1-6 6-4 7-6 6-1  ,4,1
60259,French Open,2023-06-04,Grand Slam,Outdoor,Clay,4th Round,5,Varillas J.P.,Djokovic N.,Djokovic N.,94,3,3-6 2-6 2-6   ,3,0
60260,French Open,2023-06-04,Grand Slam,Outdoor,Clay,4th Round,5,Alcaraz C.,Musetti L.,Alcaraz C.,1,18,6-3 6-2 6-2   ,3,0
60261,French Open,2023-06-04,Grand Slam,Outdoor,Clay,4th Round,5,Ofner S.,Tsitsipas S.,Tsitsipas S.,118,5,5-7 3-6 0-6   ,3,0
60262,French Open,2023-06-05,Grand Slam,Outdoor,Clay,4th Round,5,Ruud C.,Jarry N.,Ruud C.,4,35,7-6 7-5 7-5   ,3,1
60263,French Open,2023-06-05,Grand Slam,Outdoor,Clay,4th Round,5,Cerundolo F.,Rune H.,Rune H.,23,6,6-7 6-3 4-6 6-1 6-7 ,5,2
60264,French Open,2023-06-05,Grand Slam,Outdoor,Clay,4th Round,5,Zverev A.,Dimitrov G.,Zverev A.,27,29,6-1 6-4 6-3   ,3,0
60265,French Open,2023-06-05,Grand Slam,Outdoor,Clay,4th Round,5,Nishioka Y.,Etcheverry T.,Etcheverry T.,33,49,6-7 0-6 1-6   ,3,1
60266,French Open,2023-06-06,Grand Slam,Outdoor,Clay,Quarterfinals,5,Djokovic N.,Khachanov K.,Djokovic N.,3,11,4-6 7-6 6-2 6-4  ,4,1
60267,French Open,2023-06-06,Grand Slam,Outdoor,Clay,Quarterfinals,5,Tsitsipas S.,Alcaraz C.,Alcaraz C.,5,1,2-6 1-6 6-7   ,3,1
60268,French Open,2023-06-07,Grand Slam,Outdoor,Clay,Quarterfinals,5,Zverev A.,Etcheverry T.,Zverev A.,27,49,6-4 3-6 6-3 6-4  ,4,0
60269,French Open,2023-06-07,Grand Slam,Outdoor,Clay,Quarterfinals,5,Rune H.,Ruud C.,Ruud C.,6,4,1-6 2-6 6-3 3-6  ,4,0
60270,French Open,2023-06-09,Grand Slam,Outdoor,Clay,Semifinals,5,Djokovic N.,Alcaraz C.,Djokovic N.,3,1,6-3 5-7 6-1 6-1  ,4,0
60271,French Open,2023-06-09,Grand Slam,Outdoor,Clay,Semifinals,5,Zverev A.,Ruud C.,Ruud C.,27,4,3-6 4-6 0-6   ,3,0
60272,French Open,2023-06-11,Grand Slam,Outdoor,Clay,The Final,5,Djokovic N.,Ruud C.,Djokovic N.,3,4,7-6 6-3 7-5   ,3,1
